School name,Mens Conv score,Womens Conv score,Lat,Long
University of Akron,815.25,815.25,41.0770227,-81.5114462
University of Alabama,854.45,819.3,33.2140233,-87.5391418
American University,626,648.2,38.9374948,-77.0888029
University of Arizona,872.15,845.5,32.2318851,-110.9501094
Arizona State University,840.05,840.45,33.4532165,-112.0719833
University of Arkansas,810.1,810.1,36.0686895,-94.1748471
University of Arkansas at Little Rock,673.6,673.6,34.7252717,-92.3378705
Auburn University,828.85,866.2,32.5933574,-85.4951663
Ball State University,660.15,693.55,40.2049604,-85.4062846
Binghamton University,683.35,654.65,42.0894288,-75.9694885
Boise State University,786.15,786.15,43.6033127,-116.201649
Boston College,725.55,701.2,42.3355488,-71.1684945
Boston University,720.4,720.85,42.3504997,-71.1053991
Bowling Green State University,728.75,728.75,41.3797788,-83.6300826
Brigham Young University,767.3,735.2,40.2518435,-111.6493156
Brown University,778,756.75,41.8267718,-71.4025482
Bryant University,696.65,718.65,41.9214717,-71.5376476
Bucknell University,718.25,722.7,40.9547722,-76.8850759
University at Buffalo,764.6,764.6,43.0008093,-78.7889697
Butler University,643.4,643.4,39.8405491,-86.1708927
"University of California, Berkeley",930.3,901.7,37.8718992,-122.2585399
"University of California, Davis",750.05,750.05,38.5382322,-121.7617125
"University of California, Los Angeles",821.75,821.75,34.068921,-118.4451811
California Polytechnic State University,756.75,705.6,35.3050053,-120.6624942
"University of California, Santa Barbara",808,751.85,34.4139629,-119.848947
"California State University, Bakersfield",733.45,720.55,35.3486641,-119.1033448
"California State University, Fresno",748.9,748.9,36.8133631,-119.7460947
Campbell University,689.05,689.05,35.4083451,-78.7394405
Canisius College,660.35,616.2,42.9237929,-78.8550954
Central Connecticut State University,692.35,692.35,41.6929336,-72.7647801
University of Cincinnati,786.95,757.9,39.1329219,-84.5149504
Cleveland State University,731.6,701.8,41.5025072,-81.6746268
Colgate University,613.8,666.35,42.822465,-75.541671
Colorado State University,735.5,735.5,40.5734148,-105.0865487
Columbia University,796.05,748.75,40.8075355,-73.9625727
